合并,合併
布下,佈下
布置,佈置
布局,佈局
紫金砵,紫金缽
流采,流採
嘗嘗,嚐嚐
沖,衝
衝天,沖天
沖鋒,衝鋒
丑,醜
重鎚,重錘
浩盪,浩蕩
遊盪,遊蕩
盪氣,蕩氣
射雕,射鵰
弔,吊
鬥笠,斗笠
戰斗,戰鬥
戰斗,戰鬥
牛鬥,牛斗
星鬥,星斗
髮,發
披頭散發,披頭散髮
范,範
範陽,范陽
覆,復
复,復
複,復
回復,回覆
重復,重複
復蓋,覆蓋
重蹈復轍,重蹈覆轍
復滅,覆滅
顛復,顛覆
復蓋,覆蓋
復雜,複雜
回覆靈力,回復靈力
幹擾,干擾
乾擾,干擾
乾過農活,幹過農活
干過農活,幹過農活
榖,谷
后,後
天後,天后
飛雲迴轉刀,飛雲回轉刀
徊轉,回轉
回轉刀輪,徊轉刀輪
迴風,回風
迴環,回環
迴腸,回腸
輪迴,輪回
伙長,夥長
大伙,大夥
饑,飢
傢夥,傢伙
家伙,傢伙
薑,姜
儘力,盡力
卷,捲
雲煙捲,雲煙卷
雲捲煙,雲煙卷
雲卷煙,雲煙卷
相克,相剋
昆崙,崑崙
南詔壁里,南詔壁裡
阿裡曼,阿里曼
戲里,戲裡
里脊,裡脊
鍊,煉
梁笑堂,樑笑堂
橫梁,橫樑
房梁,房樑
昆侖,崑崙
崑侖,崑崙
麽,麼
么,麼
麵向,面向
拚,拼
血仆,血僕
簽,籤
籤名,簽名
籤到,簽到
灑家,洒家
人參,人蔘
雪鬆,雪松
台,臺
竈臺,灶臺
籐甲,藤甲
籐原,藤原
喂,餵
閑庭,閒庭
稱羡,稱羨
羡慕,羨慕
咸,鹹
蝎,蠍
挑舋,挑釁
倖,幸
兇,凶
硫磺巖,硫磺岩
巖石,岩石
燄,焰
李玚,李瑒
葯,藥
炸葯,炸藥
涌,湧
游客,遊客
游戲,遊戲
癒,愈
自癒,自愈
治愈,治癒
愈合,癒合
御,禦
防御,防禦
剩余,剩餘
欲,慾
冰心止慾,冰心止欲
余火,餘火
岳,嶽
臟東西,髒東西
骯臟,骯髒
內髒,內臟
心髒,心臟
战,戰
強占,強佔
占領,佔領
南詘壁裡,南詔壁裡
着,著
徵程,征程
隻,只
這只,這隻
一只,一隻
鍾,鐘
鐘情,鍾情
註,注
注定,註定
庄,莊
准,準
消息,訊息
默認,預設
懶人:,懶人：
"黑了,",黑了，
加載數據:,載入數據：
卦象清明了,卦象清明瞭
链接,連結
松烟竹雾,松煙竹霧
舍身,捨身
浮游天地,浮游天地
百里追魂,百里追魂
斗转星移,斗轉星移
